Campaign name,Ad name,Country,Targeting,Gender,Page Types,Creative Type,Bid Type,Title,Body,ad image,NF description,LP,URL,Campaign Daily Budget,Max Bid,Age Min,Age Max,Space,Serial,utm source,utm medium,utm term,utm content,utm campaign,,Custom Audiences,Link Object ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 1,The w Otono image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,The website revolution,Otonomic makes managing small business websites as easy as Facebook pages,image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=The w Otono image&utm_campaign=US custom audience All News Feed Desktop 1,50,30,24,64, ,1,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 1,A rev Otono image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,A revolution in websites,Otonomic makes managing small business websites as easy as Facebook pages,image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=A rev Otono image&utm_campaign=US custom audience All News Feed Desktop 1,50,30,24,64, ,1,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 1,Revol Otono image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,Revolutionizing websites,Otonomic makes managing small business websites as easy as Facebook pages,image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=Revol Otono image&utm_campaign=US custom audience All News Feed Desktop 1,50,30,24,64, ,1,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 1,Redis Otono image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,Rediscover DIY websiting,Otonomic makes managing small business websites as easy as Facebook pages,image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=Redis Otono image&utm_campaign=US custom audience All News Feed Desktop 1,50,30,24,64, ,1,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 2,The w Know  image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,The website revolution,Know one of the 90% of business owners who want a great website? Tell them about Otonomic,image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=The w Know  image&utm_campaign=US custom audience All News Feed Desktop 2,50,30,24,64, ,2,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 2,A rev Know  image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,A revolution in websites,Know one of the 90% of business owners who want a great website? Tell them about Otonomic,image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=A rev Know  image&utm_campaign=US custom audience All News Feed Desktop 2,50,30,24,64, ,2,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 2,Revol Know  image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,Revolutionizing websites,Know one of the 90% of business owners who want a great website? Tell them about Otonomic,image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=Revol Know  image&utm_campaign=US custom audience All News Feed Desktop 2,50,30,24,64, ,2,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 2,Redis Know  image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,Rediscover DIY websiting,Know one of the 90% of business owners who want a great website? Tell them about Otonomic,image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=Redis Know  image&utm_campaign=US custom audience All News Feed Desktop 2,50,30,24,64, ,2,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 3,The w Small image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,The website revolution,"Small Businesses are flocking to apps and tools that save time and money, such as Otonomic",image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=The w Small image&utm_campaign=US custom audience All News Feed Desktop 3,50,30,24,64, ,3,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US custom audience All News Feed Desktop 3,A rev Small image,US,custom audience,All,News Feed Desktop,Page Post Ad,CPC,A revolution in websites,"Small Businesses are flocking to apps and tools that save time and money, such as Otonomic",image,"A website for anyone with a Facebook page, created through Facebook. Whenever the Facebook page is updated, the site updates too",http://page2site.com/lp/lps1,http://page2site.com/lp/lps1?utm_source=facebook&utm_medium=CPC&utm_term=custom audience&utm_content=A rev Small image&utm_campaign=US custom audience All News Feed Desktop 3,50,30,24,64, ,3,?utm_source=facebook,&utm_medium=,&utm_term=,&utm_content=,&utm_campaign=,,6013873682430:Influencers Journos,o:409731479080509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
